hour,day_name,day,trades,win_rate,pnl,avg_pnl,sharpe
23,Wednesday,2,245,57.95918367346938,34.099999999999994,0.13918367346938773,2.6879420535771485
23,Thursday,3,164,57.92682926829268,22.72,0.13853658536585364,2.6724543395505145
3,Friday,4,242,57.85123966942148,33.16,0.13702479338842974,2.64525590795148
22,Monday,0,222,57.65765765765766,29.559999999999995,0.13315315315315313,2.5684528892979674
12,Sunday,6,229,57.64192139737992,30.419999999999995,0.13283842794759823,2.562432865309375
8,Thursday,3,316,57.59493670886076,41.67999999999999,0.13189873417721518,2.5454688647077663
20,Tuesday,1,205,57.56097560975609,26.899999999999995,0.13121951219512193,2.529916804575796
12,Monday,0,219,57.534246575342465,28.619999999999997,0.13068493150684932,2.51979673307925
19,Tuesday,1,221,57.466063348416284,28.579999999999995,0.12932126696832577,2.4930332873680365
11,Monday,0,235,57.446808510638306,30.299999999999997,0.12893617021276593,2.485799969700237
22,Friday,4,223,57.399103139013455,28.539999999999996,0.12798206278026905,2.46676440825693
21,Friday,4,230,57.391304347826086,29.399999999999995,0.12782608695652173,2.463868848692501
16,Monday,0,150,57.333333333333336,18.999999999999996,0.12666666666666665,2.4382505428660965
6,Saturday,5,199,57.286432160804026,25.019999999999996,0.12572864321608038,2.421853731800127
21,Saturday,5,222,57.20720720720721,27.559999999999995,0.12414414414414413,2.391396758857871
20,Friday,4,229,57.20524017467249,28.419999999999995,0.12410480349344975,2.390790419358064
19,Friday,4,250,57.199999999999996,30.999999999999996,0.12399999999999999,2.389174616750222
1,Friday,4,238,57.14285714285714,29.239999999999995,0.12285714285714283,2.366518801847092
19,Sunday,6,175,57.14285714285714,21.499999999999996,0.12285714285714283,2.364720762735906
17,Sunday,6,140,57.14285714285714,17.199999999999996,0.12285714285714283,2.36302135844689
11,Wednesday,2,310,57.096774193548384,37.8,0.12193548387096774,2.3496013093526855
14,Saturday,5,263,57.03422053231939,31.739999999999995,0.12068441064638781,2.324402207014473
6,Wednesday,2,314,57.00636942675159,37.71999999999999,0.12012738853503183,2.3142062685116866
11,Saturday,5,244,56.9672131147541,29.119999999999997,0.11934426229508195,2.297809291178194
3,Tuesday,1,218,56.88073394495413,25.639999999999997,0.11761467889908256,2.263399982282626
20,Sunday,6,190,56.84210526315789,22.199999999999996,0.11684210526315787,2.2475259183222254
7,Sunday,6,267,56.55430711610487,29.659999999999997,0.11108614232209736,2.136757822885079
16,Sunday,6,145,56.55172413793104,16.099999999999998,0.11103448275862067,2.1323689823460006
0,Thursday,3,213,56.33802816901409,22.739999999999995,0.10676056338028167,2.0514121734050925
