hour,quarter,trades,win_rate,pnl,avg_pnl,sharpe
4,Q4,386,54.66321243523316,28.279999999999994,0.07326424870466319,1.4040167924567273
0,Q4,366,54.644808743169406,26.679999999999993,0.07289617486338795,1.396815705447403
5,Q1,390,54.61538461538461,28.199999999999992,0.07230769230769228,1.3855800037956525
5,Q2,429,54.54545454545454,30.41999999999999,0.0709090909090909,1.3587628062455792
17,Q2,311,54.340836012861736,20.779999999999994,0.0668167202572347,1.2793079763955586
23,Q3,370,54.32432432432432,24.599999999999994,0.06648648648648647,1.2732757964299437
11,Q2,499,54.30861723446894,33.01999999999999,0.06617234468937873,1.2676688979708317
13,Q3,500,54.2,31.999999999999993,0.06399999999999999,1.2258273275656402
21,Q3,368,54.07608695652174,22.639999999999993,0.061521739130434766,1.1776929936714997
3,Q3,391,53.96419437340153,23.179999999999993,0.05928388746803067,1.1347398657910088
6,Q2,467,53.96145610278372,27.659999999999993,0.0592291220556745,1.1339231713484146
3,Q1,404,53.960396039603964,23.919999999999995,0.05920792079207919,1.1333256902739648
9,Q1,490,53.87755102040816,28.199999999999992,0.05755102040816325,1.1017060932852012
10,Q2,475,53.68421052631579,25.499999999999993,0.05368421052631577,1.0273479351730381
17,Q4,332,53.6144578313253,17.359999999999992,0.052289156626506,1.0000938367433256
16,Q3,310,53.5483870967742,15.799999999999994,0.05096774193548385,0.9746229331730406
16,Q2,307,53.420195439739416,14.859999999999994,0.04840390879478825,0.9254156265942929
9,Q2,492,53.2520325203252,22.15999999999999,0.04504065040650404,0.8614495007235943
12,Q2,484,53.099173553719005,20.319999999999993,0.04198347107438015,0.8028077095511614
10,Q1,510,52.74509803921569,17.79999999999999,0.03490196078431371,0.6671532111293547
18,Q4,383,52.74151436031331,13.339999999999993,0.0348302872062663,0.6655636403123771
18,Q3,379,52.5065963060686,11.419999999999993,0.030131926121372013,0.5756334789570813
15,Q1,429,52.44755244755245,12.419999999999993,0.028951048951048934,0.5531270887472847
14,Q1,487,52.15605749486652,11.259999999999991,0.02312114989733058,0.4416860290023101
7,Q2,514,51.9455252918288,9.719999999999992,0.018910505836575858,0.36120663331348396
21,Q4,343,51.60349854227405,4.1399999999999935,0.01206997084548103,0.23037857810719367
19,Q1,384,51.5625,4.319999999999993,0.011249999999999982,0.21475579461250383
14,Q2,483,51.5527950310559,5.339999999999991,0.011055900621117994,0.2111057414954636
19,Q2,373,51.474530831099194,3.5399999999999934,0.009490616621983897,0.1811535506990477
9,Q3,488,51.434426229508205,4.239999999999991,0.008688524590163917,0.16589214743247463
2,Q3,386,51.29533678756477,2.279999999999993,0.005906735751295319,0.11273959652405792
14,Q3,486,51.23456790123457,2.2799999999999914,0.004691358024691341,0.08956331746842963
8,Q3,493,51.115618661257614,1.1399999999999912,0.002312373225152112,0.0441439903266678
10,Q3,495,50.90909090909091,-0.9000000000000088,-0.001818181818181836,-0.034706947097006696
1,Q3,403,50.62034739454094,-3.060000000000007,-0.007593052109181159,-0.14489611613838319
5,Q3,449,50.55679287305123,-3.980000000000008,-0.008864142538975519,-0.1691710049881777
19,Q3,386,50.51813471502591,-3.720000000000007,-0.009637305699481883,-0.18389168809073633
15,Q3,403,50.37220843672456,-5.060000000000008,-0.012555831265508704,-0.2395876567998874
22,Q3,353,50.14164305949008,-6.060000000000006,-0.017167138810198317,-0.3275141534625619
22,Q4,375,49.6,-10.500000000000007,-0.028000000000000018,-0.5342426164560014
7,Q1,486,49.58847736625515,-13.72000000000001,-0.028230452674897138,-0.5388051264239335
11,Q1,487,49.48665297741273,-14.740000000000009,-0.030266940451745397,-0.5776855431718716
17,Q3,325,49.23076923076923,-11.500000000000005,-0.0353846153846154,-0.6750611860380549
6,Q3,484,48.760330578512395,-21.680000000000007,-0.04479338842975208,-0.8551548380349502
7,Q3,525,47.80952380952381,-33.50000000000001,-0.06380952380952383,-1.219088103565956
15,Q2,395,47.34177215189874,-28.900000000000006,-0.07316455696202533,-1.3980135207643967
