timestamp,signal,win,pnl,capital,regime_vol,regime_trend
2025-10-13 00:00:00,NO,True,0.98,2538.8400000004385,Medium,Strong
2025-10-13 00:15:00,NO,True,0.98,2539.8200000004385,Medium,Strong
2025-10-13 00:45:00,NO,True,0.98,2540.8000000004386,Medium,Strong
2025-10-13 01:00:00,NO,False,-1.02,2539.7800000004386,Medium,Strong
2025-10-13 01:15:00,NO,False,-1.02,2538.7600000004386,Medium,Strong
2025-10-13 01:45:00,NO,True,0.98,2539.7400000004386,Low,Strong
2025-10-13 03:00:00,NO,True,0.98,2540.7200000004386,Low,Strong
2025-10-13 04:15:00,YES,False,-1.02,2539.7000000004386,Low,Medium
2025-10-13 05:45:00,YES,True,0.98,2540.6800000004387,Low,Medium
2025-10-13 06:45:00,NO,False,-1.02,2539.6600000004387,Low,Medium
2025-10-13 07:00:00,NO,False,-1.02,2538.6400000004387,Low,Medium
2025-10-13 07:15:00,NO,True,0.98,2539.6200000004387,Low,Medium
2025-10-13 07:45:00,NO,True,0.98,2540.6000000004387,Low,Medium
2025-10-13 08:00:00,NO,True,0.98,2541.5800000004388,Low,Medium
2025-10-13 09:00:00,YES,True,0.98,2542.560000000439,Low,Medium
2025-10-13 11:00:00,YES,False,-1.02,2541.540000000439,Low,Medium
2025-10-13 11:15:00,YES,True,0.98,2542.520000000439,Low,Medium
2025-10-13 11:45:00,YES,True,0.98,2543.500000000439,Medium,Medium
2025-10-13 12:00:00,YES,False,-1.02,2542.480000000439,Medium,Medium
2025-10-13 12:15:00,YES,True,0.98,2543.460000000439,Medium,Medium
2025-10-13 13:15:00,YES,True,0.98,2544.440000000439,Medium,Medium
2025-10-13 13:45:00,NO,True,0.98,2545.420000000439,Medium,Medium
2025-10-13 14:45:00,YES,True,0.98,2546.400000000439,High,Medium
2025-10-13 18:15:00,NO,True,0.98,2547.380000000439,Medium,Medium
2025-10-13 19:00:00,NO,False,-1.02,2546.360000000439,Medium,Medium
2025-10-13 19:15:00,NO,False,-1.02,2545.340000000439,Medium,Strong
2025-10-13 19:45:00,NO,True,0.98,2546.320000000439,Low,Strong
2025-10-13 20:00:00,NO,True,0.98,2547.300000000439,Medium,Strong
2025-10-13 20:15:00,NO,True,0.98,2548.280000000439,Low,Strong
2025-10-13 20:45:00,NO,True,0.98,2549.260000000439,Low,Strong
2025-10-13 21:00:00,NO,True,0.98,2550.240000000439,Low,Strong
2025-10-13 21:15:00,NO,True,0.98,2551.220000000439,Low,Strong
2025-10-13 21:45:00,NO,False,-1.02,2550.200000000439,Low,Strong
2025-10-13 22:00:00,NO,True,0.98,2551.180000000439,Low,Strong
2025-10-14 00:45:00,YES,False,-1.02,2550.160000000439,Low,Medium
2025-10-14 01:00:00,YES,False,-1.02,2549.140000000439,Low,Medium
2025-10-14 01:15:00,YES,False,-1.02,2548.120000000439,Low,Strong
