timestamp,entry_price,exit_price,entry_time,exit_time,rsi,bb_position,signal,predicted,actual,win,outcome,pnl,capital_after,regime_vol,regime_trend,hour,weekday,day_name
2024-02-13 13:15:00,49757.12,49540.18,2024-02-13 13:15:00,2024-02-13 13:30:00,39.052066101192196,lower,BUY_YES,UP,DOWN,False,LOSS,-102.0,110868.0,Medium,Weak,13,1,Tuesday
2024-02-13 13:30:00,49540.18,49528.06,2024-02-13 13:30:00,2024-02-13 13:45:00,30.985023616256242,lower,BUY_YES,UP,DOWN,False,LOSS,-102.0,110766.0,Medium,Weak,13,1,Tuesday
2024-02-13 13:45:00,49528.06,49126.0,2024-02-13 13:45:00,2024-02-13 14:00:00,30.604654301624166,lower,BUY_YES,UP,DOWN,False,LOSS,-102.0,110664.0,Medium,Weak,13,1,Tuesday
2024-02-13 14:00:00,49126.0,48966.39,2024-02-13 14:00:00,2024-02-13 14:15:00,21.274543156293007,lower,BUY_YES,UP,DOWN,False,LOSS,-102.0,110562.0,Medium,Strong,14,1,Tuesday
2024-02-13 14:15:00,48966.39,48917.15,2024-02-13 14:15:00,2024-02-13 14:30:00,18.82148853181546,lower,BUY_YES,UP,DOWN,False,LOSS,-102.0,110460.0,High,Strong,14,1,Tuesday
2024-02-13 14:30:00,48917.15,48692.16,2024-02-13 14:30:00,2024-02-13 14:45:00,18.12707628944011,lower,BUY_YES,UP,DOWN,False,LOSS,-102.0,110358.0,High,Strong,14,1,Tuesday
2024-02-13 14:45:00,48692.16,48474.01,2024-02-13 14:45:00,2024-02-13 15:00:00,15.341792992942302,lower,BUY_YES,UP,DOWN,False,LOSS,-102.0,110256.0,High,Strong,14,1,Tuesday
2024-02-13 15:00:00,48474.01,48944.01,2024-02-13 15:00:00,2024-02-13 15:15:00,13.220645124191847,lower,BUY_YES,UP,UP,True,WIN,94.0,110350.0,High,Strong,15,1,Tuesday
2024-02-13 15:15:00,48944.01,48797.9,2024-02-13 15:15:00,2024-02-13 15:30:00,34.297435335632926,lower,BUY_YES,UP,DOWN,False,LOSS,-102.0,110248.0,High,Strong,15,1,Tuesday
2024-02-13 15:30:00,48797.9,48727.47,2024-02-13 15:30:00,2024-02-13 15:45:00,31.71835166569869,lower,BUY_YES,UP,DOWN,False,LOSS,-102.0,110146.0,High,Strong,15,1,Tuesday
2024-02-13 15:45:00,48727.47,48696.01,2024-02-13 15:45:00,2024-02-13 16:00:00,30.52670857991832,lower,BUY_YES,UP,DOWN,False,LOSS,-102.0,110044.0,High,Strong,15,1,Tuesday
2024-02-13 16:00:00,48696.01,48796.08,2024-02-13 16:00:00,2024-02-13 16:15:00,29.984804375405503,lower,BUY_YES,UP,UP,True,WIN,94.0,110138.0,High,Strong,16,1,Tuesday
2024-02-13 16:30:00,48649.0,48477.07,2024-02-13 16:30:00,2024-02-13 16:45:00,31.170153137380268,lower,BUY_YES,UP,DOWN,False,LOSS,-102.0,110036.0,High,Strong,16,1,Tuesday
2024-02-13 16:45:00,48477.07,48478.78,2024-02-13 16:45:00,2024-02-13 17:00:00,28.215410498574713,lower,BUY_YES,UP,UP,True,WIN,94.0,110130.0,High,Strong,16,1,Tuesday
2024-02-13 17:00:00,48478.78,48586.11,2024-02-13 17:00:00,2024-02-13 17:15:00,28.288222059924095,lower,BUY_YES,UP,UP,True,WIN,94.0,110224.0,High,Strong,17,1,Tuesday
2024-02-13 20:30:00,49436.43,49399.41,2024-02-13 20:30:00,2024-02-13 20:45:00,58.80605247744148,upper,BUY_NO,DOWN,DOWN,True,WIN,94.0,110318.0,Medium,Strong,20,1,Tuesday
2024-02-13 21:00:00,49614.0,49714.03,2024-02-13 21:00:00,2024-02-13 21:15:00,62.459943805826484,upper,BUY_NO,DOWN,UP,False,LOSS,-102.0,110216.0,Medium,Strong,21,1,Tuesday
2024-02-13 21:15:00,49714.03,49618.12,2024-02-13 21:15:00,2024-02-13 21:30:00,64.50881381450642,upper,BUY_NO,DOWN,DOWN,True,WIN,94.0,110310.0,Medium,Strong,21,1,Tuesday
2024-02-13 21:30:00,49618.12,49525.0,2024-02-13 21:30:00,2024-02-13 21:45:00,61.067322549636664,upper,BUY_NO,DOWN,DOWN,True,WIN,94.0,110404.0,Medium,Strong,21,1,Tuesday
2024-02-13 23:45:00,49699.59,49581.57,2024-02-13 23:45:00,2024-02-14 00:00:00,62.276969219805984,upper,BUY_NO,DOWN,DOWN,True,WIN,94.0,110498.0,Medium,Weak,23,1,Tuesday
2024-02-14 06:00:00,49631.12,49590.66,2024-02-14 06:00:00,2024-02-14 06:15:00,60.3398639669662,upper,BUY_NO,DOWN,DOWN,True,WIN,94.0,110592.0,Medium,Weak,6,2,Wednesday
2024-02-14 06:45:00,49637.83,49662.49,2024-02-14 06:45:00,2024-02-14 07:00:00,59.55878656978439,upper,BUY_NO,DOWN,UP,False,LOSS,-102.0,110490.0,Medium,Weak,6,2,Wednesday
2024-02-14 07:00:00,49662.49,49842.01,2024-02-14 07:00:00,2024-02-14 07:15:00,60.89928551791862,upper,BUY_NO,DOWN,UP,False,LOSS,-102.0,110388.0,Medium,Weak,7,2,Wednesday
2024-02-14 07:15:00,49842.01,49794.58,2024-02-14 07:15:00,2024-02-14 07:30:00,68.96434634003376,upper,BUY_NO,DOWN,DOWN,True,WIN,94.0,110482.0,Medium,Weak,7,2,Wednesday
2024-02-14 07:30:00,49794.58,49838.93,2024-02-14 07:30:00,2024-02-14 07:45:00,65.14134339321109,upper,BUY_NO,DOWN,UP,False,LOSS,-102.0,110380.0,Medium,Weak,7,2,Wednesday
2024-02-14 07:45:00,49838.93,49761.11,2024-02-14 07:45:00,2024-02-14 08:00:00,66.98434256948603,upper,BUY_NO,DOWN,DOWN,True,WIN,94.0,110474.0,Medium,Weak,7,2,Wednesday
2024-02-14 08:00:00,49761.11,49776.5,2024-02-14 08:00:00,2024-02-14 08:15:00,60.89999471481531,upper,BUY_NO,DOWN,UP,False,LOSS,-102.0,110372.0,Medium,Weak,8,2,Wednesday
2024-02-14 08:15:00,49776.5,49855.51,2024-02-14 08:15:00,2024-02-14 08:30:00,61.64203648837645,upper,BUY_NO,DOWN,UP,False,LOSS,-102.0,110270.0,Medium,Weak,8,2,Wednesday
2024-02-14 08:30:00,49855.51,50758.0,2024-02-14 08:30:00,2024-02-14 08:45:00,65.28455980538925,upper,BUY_NO,DOWN,UP,False,LOSS,-102.0,110168.0,Medium,Weak,8,2,Wednesday
2024-02-14 08:45:00,50758.0,50964.01,2024-02-14 08:45:00,2024-02-14 09:00:00,83.98831593052913,upper,BUY_NO,DOWN,UP,False,LOSS,-102.0,110066.0,Medium,Strong,8,2,Wednesday
2024-02-14 09:00:00,50964.01,51254.56,2024-02-14 09:00:00,2024-02-14 09:15:00,85.8609654269612,upper,BUY_NO,DOWN,UP,False,LOSS,-102.0,109964.0,Medium,Strong,9,2,Wednesday
2024-02-14 09:15:00,51254.56,51424.1,2024-02-14 09:15:00,2024-02-14 09:30:00,87.99373806639106,upper,BUY_NO,DOWN,UP,False,LOSS,-102.0,109862.0,Medium,Strong,9,2,Wednesday
2024-02-14 09:30:00,51424.1,51551.1,2024-02-14 09:30:00,2024-02-14 09:45:00,89.03327022505928,upper,BUY_NO,DOWN,UP,False,LOSS,-102.0,109760.0,High,Strong,9,2,Wednesday
2024-02-14 09:45:00,51551.1,51491.09,2024-02-14 09:45:00,2024-02-14 10:00:00,89.74925189247071,upper,BUY_NO,DOWN,DOWN,True,WIN,94.0,109854.0,High,Strong,9,2,Wednesday
2024-02-14 10:00:00,51491.09,51311.43,2024-02-14 10:00:00,2024-02-14 10:15:00,86.86345058018983,upper,BUY_NO,DOWN,DOWN,True,WIN,94.0,109948.0,High,Strong,10,2,Wednesday
2024-02-14 10:15:00,51311.43,51395.59,2024-02-14 10:15:00,2024-02-14 10:30:00,78.70427355237098,upper,BUY_NO,DOWN,UP,False,LOSS,-102.0,109846.0,High,Strong,10,2,Wednesday
2024-02-14 10:30:00,51395.59,51300.0,2024-02-14 10:30:00,2024-02-14 10:45:00,79.66773439345617,upper,BUY_NO,DOWN,DOWN,True,WIN,94.0,109940.0,High,Strong,10,2,Wednesday
2024-02-14 13:30:00,51777.09,51786.01,2024-02-14 13:30:00,2024-02-14 13:45:00,72.47093464718424,upper,BUY_NO,DOWN,UP,False,LOSS,-102.0,109838.0,High,Strong,13,2,Wednesday
2024-02-14 13:45:00,51786.01,51707.0,2024-02-14 13:45:00,2024-02-14 14:00:00,72.62469141528125,upper,BUY_NO,DOWN,DOWN,True,WIN,94.0,109932.0,Medium,Strong,13,2,Wednesday
2024-02-14 14:00:00,51707.0,51669.47,2024-02-14 14:00:00,2024-02-14 14:15:00,68.95114004775678,upper,BUY_NO,DOWN,DOWN,True,WIN,94.0,110026.0,Medium,Strong,14,2,Wednesday
2024-02-14 14:30:00,51757.98,51908.45,2024-02-14 14:30:00,2024-02-14 14:45:00,69.18596559301253,upper,BUY_NO,DOWN,UP,False,LOSS,-102.0,109924.0,Medium,Strong,14,2,Wednesday
2024-02-14 14:45:00,51908.45,51515.03,2024-02-14 14:45:00,2024-02-14 15:00:00,72.24512666553125,upper,BUY_NO,DOWN,DOWN,True,WIN,94.0,110018.0,High,Strong,14,2,Wednesday
2024-02-14 15:15:00,51843.98,51724.85,2024-02-14 15:15:00,2024-02-14 15:30:00,63.6187042392173,upper,BUY_NO,DOWN,DOWN,True,WIN,94.0,110112.0,High,Strong,15,2,Wednesday
2024-02-14 20:00:00,51771.2,51772.01,2024-02-14 20:00:00,2024-02-14 20:15:00,59.82479616881548,upper,BUY_NO,DOWN,UP,False,LOSS,-102.0,110010.0,Medium,Weak,20,2,Wednesday
2024-02-14 20:15:00,51772.01,51762.0,2024-02-14 20:15:00,2024-02-14 20:30:00,59.848863713483524,upper,BUY_NO,DOWN,DOWN,True,WIN,94.0,110104.0,Medium,Weak,20,2,Wednesday
2024-02-14 20:30:00,51762.0,51686.14,2024-02-14 20:30:00,2024-02-14 20:45:00,59.37547863637816,upper,BUY_NO,DOWN,DOWN,True,WIN,94.0,110198.0,Medium,Weak,20,2,Wednesday
2024-02-14 22:45:00,51792.43,51772.06,2024-02-14 22:45:00,2024-02-14 23:00:00,58.964426492546735,upper,BUY_NO,DOWN,DOWN,True,WIN,94.0,110292.0,Medium,Weak,22,2,Wednesday
2024-02-14 23:15:00,51795.53,51833.42,2024-02-14 23:15:00,2024-02-14 23:30:00,58.81672354367809,upper,BUY_NO,DOWN,UP,False,LOSS,-102.0,110190.0,Medium,Weak,23,2,Wednesday
2024-02-14 23:30:00,51833.42,51795.17,2024-02-14 23:30:00,2024-02-14 23:45:00,60.38534825400819,upper,BUY_NO,DOWN,DOWN,True,WIN,94.0,110284.0,Medium,Weak,23,2,Wednesday
2024-02-15 00:00:00,51870.2,52269.19,2024-02-15 00:00:00,2024-02-15 00:15:00,61.239977120729066,upper,BUY_NO,DOWN,UP,False,LOSS,-102.0,110182.0,Medium,Weak,0,3,Thursday
