hour,day_name,trades,wins,losses,win_rate,total_pnl,avg_pnl,sharpe,best_trade,worst_trade,profit_factor,z_score,p_value,ci_95_lower,ci_95_upper,is_significant
6,Tuesday,315,171,144,54.285714285714285,20.699999999999996,0.0657142857142857,1.2581054043432771,0.98,-1.02,1.1409313725490202,-0.2117738255227586,0.8322834895785955,48.76572246695321,59.702432253133495,NO
6,Thursday,297,161,136,54.20875420875421,19.059999999999995,0.06417508417508416,1.2283569051344057,0.98,-1.02,1.1373990772779705,-0.23228748676310634,0.8163147307845395,48.524693369721014,59.78532758482782,NO
2,Monday,155,84,71,54.19354838709678,9.899999999999997,0.06387096774193546,1.2206111283200827,0.98,-1.02,1.1367025683512852,-0.17161267897968446,0.8637420389568857,46.343080534674606,61.84117346427782,NO
4,Wednesday,251,136,115,54.18326693227091,15.979999999999995,0.0636653386454183,1.2181702269038095,0.98,-1.02,1.1362318840579717,-0.22165718416774827,0.8245807630463695,48.00249995370389,60.23791291452485,NO
13,Thursday,325,176,149,54.15384615384615,20.499999999999993,0.06307692307692306,1.207401341705842,0.98,-1.02,1.1348861692327943,-0.26288281837403893,0.7926408996319552,48.719567017256125,59.491072999092175,NO
12,Tuesday,311,168,143,54.019292604501615,18.779999999999994,0.06038585209003214,1.1555533935347482,0.98,-1.02,1.1287535993418352,-0.3048435672914348,0.76048529787976,48.46484232582146,59.47565854826888,NO
18,Thursday,226,122,104,53.98230088495575,13.479999999999997,0.05964601769911503,1.1406352353935965,0.98,-1.02,1.1270739064856719,-0.2710424495328227,0.786358383779018,47.47177678777476,60.359703675291975,NO
11,Sunday,267,144,123,53.93258426966292,15.659999999999995,0.05865168539325841,1.1219140327475436,0.98,-1.02,1.1248206599713062,-0.31092950704460065,0.7558542121352381,47.940173174127075,59.81343631570019,NO
6,Friday,293,158,135,53.92491467576792,17.139999999999993,0.05849829351535834,1.1191529452601272,0.98,-1.02,1.124473493100945,-0.32835500775296655,0.7426432573549651,48.20339071810369,59.54484942074478,NO
11,Tuesday,310,167,143,53.87096774193548,17.799999999999994,0.057419354838709656,1.0985215407611424,0.98,-1.02,1.1220348279171817,-0.3568341491335614,0.7212159696684566,48.30812914752657,59.339040634936936,NO
17,Monday,184,99,85,53.80434782608695,10.319999999999997,0.05608695652173911,1.071730788080867,0.98,-1.02,1.119031141868513,-0.29307270504920363,0.7694665794225444,46.596449715438936,60.85663841839296,NO
20,Monday,238,128,110,53.78151260504202,13.239999999999995,0.05563025210084031,1.0636256173583247,0.98,-1.02,1.1180035650623894,-0.34039454725050017,0.7335594244599037,47.43746431531188,60.00542392227835,NO
7,Thursday,305,164,141,53.77049180327869,16.899999999999995,0.05540983606557375,1.0598844804298093,0.98,-1.02,1.1175079961062448,-0.3892078119165716,0.6971224250975461,48.16281741357982,59.284365867428946,NO
17,Wednesday,192,103,89,53.645833333333336,10.159999999999997,0.05291666666666665,1.0110266375438413,0.98,-1.02,1.111918924873321,-0.3435155783457769,0.7312106232303006,46.58976204958015,60.558872357001505,NO
19,Saturday,213,114,99,53.52112676056338,10.739999999999997,0.05042253521126759,0.9634492072148916,0.98,-1.02,1.1063576945929896,-0.39838944667037146,0.6903431358493988,46.819872901727535,60.09761894485539,NO
23,Sunday,178,95,83,53.37078651685393,8.439999999999998,0.04741573033707864,0.9053878589043904,0.98,-1.02,1.0996928892038753,-0.404498188071876,0.6858464100318566,46.04835237924888,60.55079765022732,NO
14,Thursday,314,167,147,53.18471337579618,13.719999999999995,0.04369426751592355,0.8351432777321824,0.98,-1.02,1.0915032679738572,-0.6035045568746847,0.5461730849900932,47.66031164789541,58.632130876934575,NO
18,Wednesday,215,114,101,53.02325581395348,8.699999999999996,0.04046511627906975,0.7726987920882192,0.98,-1.02,1.0844496214327324,-0.5469601283270289,0.5844061249491459,46.35747036462974,59.58289929086538,NO
22,Wednesday,187,99,88,52.94117647058824,7.259999999999996,0.03882352941176469,0.7410197663474616,0.98,-1.02,1.080882352941177,-0.5326582815925401,0.5942701498522858,45.8000343620654,59.963908090733156,NO
13,Tuesday,292,154,138,52.73972602739726,10.159999999999995,0.034794520547945185,0.6646076097863184,0.98,-1.02,1.0721795964762724,-0.7347871212970639,0.46246915169252434,47.014939409960746,58.393360166569394,NO
5,Thursday,277,146,131,52.707581227436826,9.459999999999996,0.034151624548736444,0.6522440916661499,0.98,-1.02,1.0707977847627608,-0.726416596525424,0.4675834199316382,46.8311691562009,58.50991991322472,NO
10,Tuesday,317,167,150,52.6813880126183,10.659999999999995,0.03362776025236591,0.6423676867545313,0.98,-1.02,1.06967320261438,-0.7864693599220787,0.4315925627638797,47.185884423939086,58.112680350703606,NO
22,Saturday,224,118,106,52.67857142857143,7.519999999999996,0.03357142857142855,0.6408682603279717,0.98,-1.02,1.0695523492415844,-0.6619608826724931,0.5079962915200111,46.15010999799093,59.11670694851927,NO
5,Monday,251,132,119,52.589641434262944,7.979999999999995,0.03179282868525894,0.6070046600369735,0.98,-1.02,1.0657439446366788,-0.7290345409207513,0.4659805340361751,46.419814003576796,58.68139396246956,NO
9,Thursday,293,154,139,52.55972696245734,9.139999999999995,0.03119453924914674,0.5957341375060313,0.98,-1.02,1.0644660741994645,-0.797961543073301,0.4248928073820015,46.845908422830135,58.207291667723226,NO
14,Wednesday,322,169,153,52.484472049689444,9.559999999999995,0.029689440993788806,0.5670349675055508,0.98,-1.02,1.061258490324235,-0.8636570912645725,0.38777629163460325,47.0327708424113,57.8775905110807,NO
4,Tuesday,225,118,107,52.44444444444445,6.4999999999999964,0.028888888888888874,0.5513528842692872,0.98,-1.02,1.0595565328935321,-0.7340117950461736,0.46294154941512455,45.932762417885996,58.874055922835275,NO
9,Tuesday,307,161,146,52.44299674267101,8.859999999999994,0.028859934853420175,0.5511277997157824,0.98,-1.02,1.0594950308890685,-0.8579047901301133,0.39094503897269517,46.860875307039464,57.964733620465736,NO
5,Tuesday,254,133,121,52.362204724409445,6.9199999999999955,0.027244094488188958,0.5200527864297052,0.98,-1.02,1.0560687084751261,-0.80622096903558,0.4201154500647859,46.23063604824078,58.42338409435839,NO
10,Sunday,254,133,121,52.362204724409445,6.9199999999999955,0.027244094488188958,0.5200527864297052,0.98,-1.02,1.0560687084751261,-0.80622096903558,0.4201154500647859,46.23063604824078,58.42338409435839,NO
18,Tuesday,191,100,91,52.35602094240838,5.179999999999996,0.02712041884816752,0.517351386105805,0.98,-1.02,1.0558069381598802,-0.7008409521088647,0.48340227784844614,45.29643524926893,59.32270152645043,NO
18,Monday,199,104,95,52.26130653266332,5.019999999999996,0.025226130653266312,0.4812245093097662,0.98,-1.02,1.0518059855521165,-0.7422180841077846,0.45795521348680124,45.344450485144115,59.092509191766354,NO
12,Wednesday,335,175,160,52.23880597014925,8.299999999999994,0.024776119402985054,0.4731145922262366,0.98,-1.02,1.0508578431372555,-0.9712785229699801,0.3314096007512699,46.894829317242305,57.532017917571835,NO
10,Thursday,316,165,151,52.21518987341772,7.679999999999994,0.024303797468354413,0.4640437699818057,0.98,-1.02,1.0498636540709008,-0.9517692219138565,0.34121403444192455,46.71417626231299,57.66299043520229,NO
13,Sunday,263,137,126,52.09125475285171,5.739999999999995,0.0218250950570342,0.41653887931559375,0.98,-1.02,1.0446623093681924,-0.9086829715757018,0.3635174952613833,46.067039534159335,58.05525623981295,NO
