# Precision Temporal Analysis Matrix
# Baseline WR: 54.88%
hour,day_name,quarter,trades,wins,losses,win_rate,total_pnl,avg_pnl,sharpe,best_trade,worst_trade,profit_factor
22,Thursday,Q1,50,30,20,60.0,9.0,0.18,3.474532342632602,0.98,-1.02,1.4411764705882355
15,Saturday,Q1,65,39,26,60.0,11.7,0.18,3.4827045193686423,0.98,-1.02,1.4411764705882344
6,Saturday,Q1,45,27,18,60.0,8.1,0.18,3.4705907278156554,0.98,-1.02,1.4411764705882353
1,Sunday,Q4,55,33,22,60.0,9.899999999999999,0.17999999999999997,3.477753977392984,0.98,-1.02,1.4411764705882353
1,Wednesday,Q1,55,33,22,60.0,9.899999999999999,0.17999999999999997,3.477753977392984,0.98,-1.02,1.4411764705882353
7,Thursday,Q4,82,49,33,59.756097560975604,14.36,0.17512195121951218,3.390403984519154,0.98,-1.02,1.4266191325014854
10,Monday,Q4,62,37,25,59.67741935483871,10.759999999999998,0.17354838709677417,3.352176786302593,0.98,-1.02,1.4219607843137247
23,Monday,Q2,62,37,25,59.67741935483871,10.759999999999998,0.17354838709677417,3.3521767863025924,0.98,-1.02,1.4219607843137247
5,Saturday,Q3,52,31,21,59.61538461538461,8.959999999999999,0.1723076923076923,3.32213569980825,0.98,-1.02,1.4183006535947715
6,Saturday,Q2,52,31,21,59.61538461538461,8.959999999999999,0.1723076923076923,3.3221356998082485,0.98,-1.02,1.4183006535947715
17,Monday,Q1,42,25,17,59.523809523809526,7.159999999999999,0.17047619047619045,3.277949639261563,0.98,-1.02,1.4129181084198386
11,Thursday,Q2,79,47,32,59.49367088607595,13.419999999999998,0.16987341772151895,3.2845720275126653,0.98,-1.02,1.411151960784313
11,Wednesday,Q4,79,47,32,59.49367088607595,13.419999999999998,0.16987341772151895,3.284572027512665,0.98,-1.02,1.411151960784313
2,Saturday,Q1,37,22,15,59.45945945945946,6.26,0.16918918918918918,3.247014202078769,0.98,-1.02,1.409150326797386
21,Wednesday,Q3,37,22,15,59.45945945945946,6.26,0.16918918918918918,3.247014202078769,0.98,-1.02,1.409150326797386
12,Friday,Q2,69,41,28,59.42028985507246,11.62,0.16840579710144926,3.252232096429948,0.98,-1.02,1.4068627450980393
21,Friday,Q3,59,35,24,59.32203389830508,9.819999999999999,0.16644067796610168,3.209048436599592,0.98,-1.02,1.4011437908496727
20,Wednesday,Q3,59,35,24,59.32203389830508,9.819999999999999,0.16644067796610168,3.209048436599592,0.98,-1.02,1.4011437908496727
18,Thursday,Q2,54,32,22,59.25925925925925,8.919999999999998,0.16518518518518516,3.1815299525235825,0.98,-1.02,1.397504456327986
14,Thursday,Q4,76,45,31,59.210526315789465,12.479999999999999,0.16421052631578945,3.170791999095495,0.98,-1.02,1.3946869070208725
18,Tuesday,Q3,49,29,20,59.183673469387756,8.02,0.1636734693877551,3.1484687474875304,0.98,-1.02,1.393137254901961
9,Wednesday,Q1,71,42,29,59.154929577464785,11.579999999999998,0.16309859154929576,3.147177208351535,0.98,-1.02,1.3914807302231238
