hour,day_name,quarter,trades,wins,pnl,win_rate
3,Sunday,Q3,48,26,3.039999999999999,54.166666666666664
3,Sunday,Q4,41,27,12.18,65.85365853658537
3,Thursday,Q1,71,36,-0.42000000000000126,50.70422535211267
3,Thursday,Q2,73,43,11.54,58.9041095890411
3,Thursday,Q3,70,38,4.599999999999999,54.285714285714285
3,Thursday,Q4,70,38,4.599999999999999,54.285714285714285
3,Tuesday,Q1,61,34,5.779999999999999,55.73770491803278
3,Tuesday,Q2,49,26,2.019999999999999,53.06122448979592
3,Tuesday,Q3,55,39,21.9,70.9090909090909
3,Tuesday,Q4,53,25,-4.0600000000000005,47.16981132075472
3,Wednesday,Q1,63,34,3.739999999999999,53.96825396825397
3,Wednesday,Q2,63,31,-2.260000000000001,49.2063492063492
3,Wednesday,Q3,63,30,-4.260000000000002,47.61904761904761
3,Wednesday,Q4,69,37,3.6199999999999988,53.62318840579711
4,Friday,Q1,60,39,16.799999999999997,65.0
4,Friday,Q2,59,31,1.819999999999999,52.54237288135594
4,Friday,Q3,63,28,-8.260000000000002,44.44444444444444
4,Friday,Q4,61,37,11.78,60.65573770491803
4,Monday,Q1,52,33,12.959999999999999,63.46153846153846
4,Monday,Q2,55,28,-0.10000000000000098,50.90909090909091
4,Monday,Q3,54,34,12.919999999999998,62.96296296296296
4,Monday,Q4,51,29,5.979999999999999,56.86274509803921
4,Saturday,Q1,42,23,3.1599999999999993,54.761904761904766
4,Saturday,Q2,49,35,20.02,71.42857142857143
4,Saturday,Q3,35,25,14.299999999999999,71.42857142857143
4,Saturday,Q4,42,21,-0.8400000000000007,50.0
4,Sunday,Q1,39,20,0.2199999999999993,51.28205128205128
4,Sunday,Q2,35,23,10.299999999999999,65.71428571428571
4,Sunday,Q3,42,21,-0.8400000000000007,50.0
4,Sunday,Q4,45,24,2.099999999999999,53.333333333333336
4,Thursday,Q1,72,37,0.5599999999999987,51.388888888888886
4,Thursday,Q2,71,38,3.5799999999999987,53.52112676056338
4,Thursday,Q3,70,41,10.599999999999998,58.57142857142858
4,Thursday,Q4,67,41,13.659999999999998,61.19402985074627
4,Tuesday,Q1,53,31,7.9399999999999995,58.490566037735846
4,Tuesday,Q2,57,32,5.859999999999999,56.14035087719298
4,Tuesday,Q3,55,27,-2.100000000000001,49.09090909090909
4,Tuesday,Q4,60,28,-5.200000000000001,46.666666666666664
4,Wednesday,Q1,62,33,2.759999999999999,53.2258064516129
